csv_column_name,mimic_extract_level2_name,cleaning_thresholds_defined,outlier_low,valid_low,valid_high,outlier_high
creatinine,Creatinine,True,0.0,0.1,60.0,66.0
bun,Blood urea nitrogen,True,0.0,0.0,250.0,275.0
sodium,Sodium,True,0.0,50.0,225.0,250.0
potassium,Potassium,True,0.0,0.0,12.0,15.0
chloride,Chloride,True,0.0,50.0,175.0,200.0
bicarbonate,Bicarbonate,True,0.0,0.0,60.0,66.0
calcium,Calcium,False,,,,
glucose_lab,Glucose,True,0.0,33.0,2000.0,2200.0
aniongap,Anion Gap,True,0.0,5.0,50.0,55.0
albumin,Albumin,True,0.0,0.6,6.0,60.0
hemoglobin,Hemoglobin,True,0.0,0.0,25.0,30.0
hematocrit,Hematocrit,True,0.0,0.0,75.0,100.0
wbc,White blood cell count,True,0.0,0.0,1000.0,1100.0
platelet,Platelets,True,0.0,0.0,2000.0,2200.0
troponin_t,Troponin-T,True,0.0,0.01,20.85,24.0
pt,Prothrombin time,True,0.0,9.9,97.1,150.0
ptt,Partial thromboplastin time,True,0.0,18.8,150.0,150.0
heart_rate,Heart rate,True,0.0,0.0,350.0,390.0
sbp,Systolic blood pressure,True,0.0,0.0,375.0,375.0
dbp,Diastolic blood pressure,True,0.0,0.0,375.0,375.0
mbp,Mean blood pressure,True,0.0,14.0,330.0,375.0
resp_rate,Respiratory rate,True,0.0,0.0,300.0,330.0
spo2,Oxygen saturation,True,0.0,0.0,100.0,150.0
temperature_c,Temperature,True,14.2,26.0,45.0,47.0
omr_weight_kg,Weight,True,0.0,0.0,250.0,250.0
