column,review_lo,review_hi,n_flagged,pct_flagged
4CH_circularity_rate__fill_peak,-8.0,8.0,1,0.19
4CH_ellipticity_rate__empty_trough,-8.0,8.0,1,0.19
Annular_expansion_rate__empty_trough,-8.0,8.0,117,22.2
Annular_expansion_rate__fill_peak,-8.0,8.0,99,18.79
Longitudinal_stretching_rate__empty_trough,-8.0,8.0,161,30.55
Longitudinal_stretching_rate__fill_peak,-8.0,8.0,139,26.38
MAT_area__empty_min,0.5,30.0,1,0.19
Sphericity_index_rate__empty_trough,-8.0,8.0,3,0.57
Sphericity_index_rate__fill_peak,-8.0,8.0,3,0.57
